target,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
a,-812.48694,33.02217,22.760506,13.582997,9.346078,8.96609,9.464582,9.027016,7.0615516,3.4119883,-1.0731146,-4.266508,-4.6854153
a,-687.9013,71.414825,18.863407,18.648262,-0.49329984,26.603111,-3.3929427,14.461399,8.166341,1.6343286,-0.74802387,-7.131307,-8.200613
a,-593.3985,76.60733,13.864468,34.248425,-0.8055228,33.367195,-6.0861216,21.770348,2.3011572,9.614216,-4.3607416,-4.1358643,-9.920543
a,-533.61456,75.49463,9.138145,37.915215,-1.6860403,37.743874,-12.118628,28.89579,2.7431064,18.385597,-0.6221962,3.366205,-6.2847795
a,-499.3453,75.4861,9.925474,31.393003,-9.069089,39.650597,-14.761112,34.052277,5.814901,20.603733,2.4242175,7.07893,-4.631138
a,-479.67413,81.05449,14.513121,33.79296,-13.5527115,35.38067,-13.561209,30.24287,8.370412,18.752762,-2.0315568,4.912381,-3.1975393
a,-473.15964,83.23114,14.095033,38.33763,-16.115307,30.817951,-16.043612,27.983896,8.575563,15.116067,-5.3550806,2.7799776,-3.4073937
a,-473.6589,83.88429,6.3832655,39.364124,-19.56321,32.112858,-19.905382,27.398571,8.214242,19.495731,-0.7774334,5.367937,-4.863497
a,-474.1975,81.41453,3.0848722,35.004143,-20.079033,35.326443,-16.233055,32.43458,7.4202404,18.787403,0.37480718,6.765112,-6.6200066
a,-473.61038,84.365005,8.789808,35.117203,-19.33855,38.219532,-11.914846,32.07834,4.0356736,15.148708,0.69091195,2.9655788,-8.045629
a,-477.589,86.96155,11.288226,42.52591,-17.250807,44.689983,-9.985421,32.76602,5.1530514,13.466905,-3.2780938,2.9780881,-7.3370457
a,-478.824,89.599976,8.846719,43.487736,-19.718868,46.6116,-3.3518724,38.170227,0.024094462,6.2375717,-7.6584797,5.513855,-1.1556199
a,-476.8693,85.90849,8.765671,45.81444,-19.132786,39.234543,-6.1780195,36.54411,5.1307907,7.1640563,-10.664252,9.262901,2.315947
a,-477.32556,85.5116,8.596062,42.125736,-15.364496,37.703857,-12.767298,34.177567,7.3228674,9.304943,-8.676701,5.8200393,-0.8554702
a,-475.68243,84.18614,6.256035,34.74976,-14.428292,38.238197,-15.537075,32.580444,8.761398,6.765978,-5.335866,5.4435,-4.795394
a,-476.8043,86.266,11.414524,39.60499,-10.880455,43.682755,-11.516521,31.06762,10.809719,8.612499,-4.6657314,3.7130084,-10.603058
a,-474.9619,91.25816,12.539988,41.386562,-10.988512,42.03902,-17.224976,26.42994,3.0814252,8.253008,-3.8399682,4.1346307,-8.706167
a,-477.92227,90.09575,13.670395,43.337418,-14.759483,39.35074,-16.269333,31.276192,0.9874079,8.10582,-5.172518,4.2579603,-6.3065834
a,-479.9725,89.878265,8.200772,43.27101,-15.837381,38.34632,-22.245,32.420624,3.603517,15.397383,-3.6497355,3.8366892,-7.118039
a,-479.97345,87.13035,0.012084782,41.96003,-14.916922,43.205864,-21.951126,31.415096,1.0901806,12.514647,-6.3762665,8.255496,-2.4215927
a,-479.02277,85.26042,3.6976647,40.46121,-14.6345215,36.901123,-19.623976,27.847092,-1.6068808,8.84107,-8.202713,9.258747,-1.8353387
a,-477.13733,90.05886,10.90528,41.767044,-16.55926,32.53855,-17.264534,31.262615,5.5525513,13.9513855,-8.07563,5.8269205,-3.7373507
a,-473.32727,93.66754,8.031695,40.49054,-15.798432,36.43103,-16.986021,32.76423,4.082698,15.543652,-5.693803,3.7865005,-4.739444
a,-478.234,87.83562,4.3454285,38.144783,-11.033456,38.87789,-18.265038,33.4441,3.0742383,15.502239,-6.1112127,4.542405,-4.7953625
a,-477.182,87.30823,9.380623,41.475037,-9.949617,40.900578,-13.942109,38.805138,2.5374212,11.927941,-6.544176,4.550599,-4.410518
a,-479.02136,85.68509,11.09305,41.9432,-10.440725,38.003357,-12.987013,36.65262,0.87319475,10.673929,-4.485113,10.26813,-4.4299145
a,-475.91367,84.76657,12.679634,35.065582,-10.33707,34.055424,-16.970913,28.297253,2.8312902,13.360896,-3.4387443,9.403471,-8.86359
a,-469.48932,81.27904,12.848991,29.378567,-13.833355,31.136276,-16.254293,25.835335,4.230649,12.558382,-5.236569,3.3560061,-14.035762
a,-394.34595,31.667439,5.205205,21.798744,-5.137084,22.04742,-15.876644,25.674799,-1.9221667,5.4524784,-18.167576,20.710888,-13.288369
a,-180.27998,5.0667524,-8.56918,5.5883627,-5.0850506,23.037344,-11.784294,32.72177,-0.6445482,29.331043,-18.566479,22.259172,-27.520817
a,-136.20178,15.715694,0.08036876,8.332301,0.9963571,28.980892,-6.7592993,37.506416,1.7172738,35.9766,-16.814554,23.224392,-28.433327
a,-198.44148,31.489304,7.854467,6.6589518,5.7205024,31.136559,-3.6720772,40.619293,0.44004893,45.006523,-15.009304,24.056946,-29.805557
a,-311.2631,46.528744,7.542489,12.528198,4.7702737,32.704952,-1.8303158,35.15843,-1.8717517,52.250824,-12.185338,24.473999,-25.571331
a,-357.236,46.674706,17.507177,24.673412,2.3138635,40.111725,-4.421914,28.863472,-5.9278493,27.3249,-9.942686,16.365263,-15.308649
a,-372.94644,40.772717,22.535488,26.698112,6.825698,36.664978,-5.947162,25.286743,-4.1444936,20.514511,-9.454979,13.561686,-20.257477
a,-422.1658,52.90316,12.431894,30.796154,2.8053071,30.643778,-3.4058142,23.468899,-2.1665995,15.436718,-9.721748,7.7009773,-19.870592
a,-449.59726,60.467194,6.7154474,32.669334,-10.009605,29.388401,-6.4269223,25.043507,1.5758367,15.24666,-12.942881,12.945925,-6.725129
a,-455.86932,70.28825,7.5413265,34.157333,-9.888956,35.129414,-9.454538,22.576904,1.5832183,17.775743,-10.04929,9.024954,-4.824302
a,-465.17786,74.14232,8.109139,32.11453,-10.713005,37.49398,-10.74467,23.788338,1.7688608,15.377045,-6.9099207,8.254648,-4.2143106
a,-471.60867,75.33984,10.15012,32.721924,-13.373211,39.526978,-14.4937725,24.46801,6.454651,14.439396,-6.6565914,9.788161,-5.0437584
a,-475.0411,77.61516,12.041434,38.171494,-14.692192,41.015366,-13.688042,27.238922,3.2712114,10.418053,-10.051626,5.8999615,-3.8167014
a,-474.68375,83.634384,11.278881,44.430252,-11.133015,44.74893,-9.376686,29.149498,-0.03389129,11.8021145,-7.676488,5.2321224,-0.14984298
a,-470.03192,87.220726,13.462617,40.920494,-12.38999,39.494568,-9.724825,28.44033,3.820615,13.617241,-6.990821,5.4834976,-3.590743
a,-472.70667,84.960266,4.7143474,39.187355,-18.442924,36.397774,-17.178555,29.514101,8.20229,14.497826,-4.429187,7.70035,-1.6277221
a,-480.15735,81.14824,0.06511569,40.3216,-24.481407,39.79505,-18.775196,33.86106,8.828197,15.819389,-2.601047,5.1931562,1.0151997
a,-474.25336,77.3877,7.224821,34.430542,-20.791622,38.56308,-13.112507,34.22385,7.8335648,15.152153,-6.407028,-1.6077938,-3.8789916
a,-466.38577,78.56505,11.558163,37.125523,-14.265989,38.730217,-11.891109,31.757912,0.26914978,10.791673,-8.498098,-3.2818885,-7.3748217
a,-472.63562,85.0233,13.477849,38.99843,-13.304779,37.02761,-15.830519,29.456259,-2.0520988,10.257232,-8.150486,-4.6673594,-6.8045177
a,-477.5959,87.87845,5.9813085,40.967587,-17.157497,38.363937,-15.188091,35.87113,4.517209,15.57612,-10.763243,-7.964711,-11.1095085
