label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20
?,436.88995,83.2827,39.87318,21.058475,11.011184,18.17861,0.3904181,24.403828,-0.19420747,17.570087,-2.6166098,6.5246344,-2.7944522,3.5652466,-3.8233407,8.914289,-8.717751,8.919078,-4.9349523,-0.06968923
?,402.40894,79.64793,42.993736,18.105967,4.916377,19.501133,3.2614295,23.4074,-3.131852,14.531927,-3.4626687,4.65089,-4.578552,4.0439014,-4.624582,8.003578,-8.381571,5.5996084,-8.1708975,2.1688943
?,410.89752,80.96906,37.097317,14.45877,5.9588895,21.19718,3.8187582,21.495504,-5.8401747,13.383893,-1.8981041,8.864376,-2.6138685,3.0140526,-8.27422,6.3531904,-8.424042,6.4612184,-6.4763856,3.9684033
?,417.00778,82.3315,37.922657,11.978399,0.085025385,17.207237,0.26218435,19.974566,-4.8600683,14.247164,-2.7995255,6.2235065,-5.129807,-1.1643203,-9.537787,6.267491,-8.380777,6.261687,-7.0722775,2.6905954
?,421.39316,72.29774,41.55007,16.535126,4.019868,20.09734,-0.4107338,19.213367,-5.69245,13.485944,-4.1415253,5.306738,-4.5774727,2.313534,-7.2921147,6.8097396,-9.5405855,7.4992175,-5.0038643,4.433771
?,433.48355,71.63635,41.350796,17.244791,5.9014874,20.82653,0.7153756,22.3206,-2.3665223,16.177624,-3.3091366,5.1717653,-3.1925821,4.6776767,-6.6446624,8.371516,-9.541968,7.7397256,-4.294423,4.078743
?,451.3995,77.943,35.571693,11.299097,3.9125628,20.175787,0.26270902,21.518002,-8.005888,11.896748,-2.397489,8.769429,-2.8039317,2.7046025,-6.934935,10.038567,-8.061656,6.2547626,-8.213543,3.4481266
?,445.09607,74.8844,34.901215,8.727699,4.6577306,21.845654,1.0089148,20.525333,-5.8988743,14.477228,0.7011984,9.575928,0.39548317,6.377699,-8.539838,7.4889026,-5.5065794,10.641815,-3.6934502,4.9313464
?,431.74884,71.20357,42.77324,16.722769,3.3012466,19.439,-0.90853375,19.736805,-7.1018004,12.416359,-3.5233529,5.1566095,-3.0293882,6.4355955,-6.6816483,9.132093,-7.227315,6.6366057,-7.6857133,2.9614615
?,436.3853,75.52195,39.653717,13.086759,2.233789,18.880037,-0.25795886,18.474953,-6.1516085,17.855442,0.21670884,5.9007077,-5.1629367,3.7199886,-6.6318955,10.400128,-4.9333634,6.553411,-6.0061088,4.773757
?,444.67206,78.296135,38.026108,12.08108,6.349415,24.59315,1.7461424,22.376102,-6.4683104,14.058078,-4.8186426,6.308254,-2.4220665,5.537365,-8.987165,9.167892,-7.2646065,9.50533,-3.0212383,5.8838124
?,435.0039,74.49054,40.15274,18.353262,4.874888,17.804647,-5.215053,18.064743,-5.9930224,17.014114,-1.4340115,5.536795,-3.0145903,5.154992,-4.0340567,12.048567,-7.376701,5.7958527,-7.2656717,1.6888115
?,432.80807,70.474686,44.659977,19.639597,5.9113827,21.562542,0.4160443,22.330502,-5.1206493,14.266246,-2.2934585,4.6387835,-5.18423,5.7119317,-3.6683633,8.21633,-9.95696,4.979353,-7.085045,2.839989
?,440.33142,72.00564,37.44582,14.39472,6.166103,18.807539,-1.6441956,21.561867,-5.2918077,14.3631935,-1.1492181,6.2641897,-1.9957929,7.211824,-5.539323,5.365003,-12.196645,4.701274,-4.606479,6.4394054
?,438.80878,71.38671,40.967495,15.643135,3.8148866,19.841211,-1.7231383,18.567587,-8.126551,12.127907,-2.558422,6.398098,-3.9114046,6.5073156,-8.075051,3.5809627,-10.286705,5.9989705,-7.4425216,2.5647297
?,432.70422,67.31985,39.59141,19.562054,5.796974,21.555145,1.7460413,21.295353,-5.344124,12.61835,-5.8872805,6.10872,-2.691488,5.6586437,-4.639726,7.8494925,-7.87475,8.188451,-7.7565823,2.512837
?,420.0614,70.53677,41.67564,18.329098,5.282026,19.492313,1.2735709,21.240854,-8.075947,11.01178,-1.8161104,10.126622,-1.9169235,4.3651433,-6.308912,5.4377756,-10.527678,7.3640137,-5.6736608,4.779272
?,451.88434,79.76025,30.010433,1.7435261,0.99662274,25.585468,-2.4651022,17.394201,-5.068133,13.455927,-1.5347637,10.457088,0.22661003,4.596785,-7.8842225,6.794078,-9.420334,4.528302,-11.170415,2.916304
?,424.00894,69.68032,43.767265,20.668222,6.266545,22.22263,1.6173575,18.352993,-7.3354697,13.787076,-2.3842342,6.916052,-4.0069313,4.7393374,-4.4623547,7.8258376,-10.124654,6.6692953,-4.9028993,4.587536
?,418.11813,73.65514,42.15867,17.990519,5.0825305,19.140207,-1.5715877,21.358587,-4.311626,13.027929,-3.6884668,5.968579,-2.218482,5.627274,-4.440437,7.054005,-8.696916,5.497843,-6.2262454,4.773203
?,430.85922,72.35887,33.61508,11.038407,4.3478737,22.819918,-0.25158864,21.346252,-6.021315,11.175708,-5.126422,7.889282,-3.0366836,1.3765457,-9.9473295,5.402649,-9.921185,6.027688,-8.50123,2.931318
?,414.6795,74.11596,39.95314,17.21994,3.4518752,19.952568,-1.965132,20.116625,-4.3147764,15.205792,-1.4998877,4.789292,-4.7381315,5.50938,-6.2738037,6.485407,-8.47765,5.2769117,-8.37571,3.9898446
?,418.79492,74.546776,42.148895,19.006763,8.207609,22.976763,-1.2920258,20.206032,-8.723305,12.225566,-4.487754,3.438638,-3.491713,5.2123804,-7.961101,6.805943,-9.117196,4.468524,-6.356244,3.2651708
?,428.25458,68.46261,40.73949,21.279339,9.256965,22.368801,0.12069349,20.666012,-6.1526947,13.033407,-2.7106013,6.332464,-1.5787398,6.255716,-7.058027,7.6947403,-7.770108,6.949553,-6.991153,3.5125115
?,437.20514,75.866905,42.1179,20.00772,8.075347,20.38807,-2.6520526,18.645584,-8.91955,12.165626,-1.2259828,10.117564,-1.6218277,6.4858623,-6.900669,5.523097,-10.075653,7.128017,-6.3579817,2.5790186
?,433.53564,80.53905,45.848114,19.660702,8.373833,22.966177,-0.10133788,21.6098,-2.266626,14.636208,-3.4929235,8.328618,-1.3487556,5.1314516,-4.998696,8.846127,-9.595931,5.405931,-6.164046,3.828833
?,423.36868,75.454254,42.10622,12.414945,1.6060411,20.018549,2.5802076,22.525623,-2.9877892,15.605022,-2.3707836,4.304213,-2.9002178,4.080738,-7.3917117,6.1579704,-8.700633,5.112699,-6.873699,5.4030166
?,451.51846,84.21351,27.052317,4.7440557,13.56419,29.341658,-6.426548,11.1378,-8.304983,17.115234,-0.80731475,2.7365103,-8.165783,3.199442,-6.73831,7.4947286,-8.03541,6.4618087,-5.668364,5.052785
?,437.0179,79.673065,48.495213,19.768475,9.191536,25.219887,-0.43880156,19.056126,-6.7094436,16.139723,-4.273258,0.87629503,-5.9039664,5.605201,-3.6998546,9.157614,-11.363649,3.0468938,-8.107505,2.8269913
?,438.5467,79.31671,48.250244,19.95357,7.4505253,22.315779,3.736963,21.105623,-5.3742285,12.775281,-4.111088,4.6399307,-2.4924061,3.8379338,-6.747295,8.082178,-7.565698,8.470237,-7.7276125,0.7023988
?,423.9653,75.51699,45.795357,19.529377,5.7784243,21.79165,0.6372166,19.126251,-10.555554,8.730773,-6.4657655,4.427278,-3.6465309,2.9717312,-8.671104,4.9359517,-9.794467,7.609129,-4.808543,4.174002
?,440.65912,83.16749,52.727814,25.042288,8.439472,22.13483,0.42590275,19.298075,-6.011555,13.031228,-2.5246062,6.8129935,-3.2033699,5.3446984,-5.672555,6.8053207,-8.10958,7.7570786,-7.5705643,1.5392208
?,430.69745,80.0382,47.383728,21.055655,7.4319143,22.333048,0.023478508,20.570889,-3.0712929,16.338942,-0.6093607,7.6012077,-2.9528482,5.510749,-6.6626263,7.439457,-7.1711707,6.6563954,-7.13024,4.648965
?,424.4419,74.33773,45.375034,18.454308,5.051215,19.241674,-0.010161644,20.135338,-4.521064,14.559221,-3.9396522,4.6003437,-4.2330317,3.2532945,-8.120116,3.0118845,-10.703753,5.240032,-6.698692,1.433
?,428.82962,78.30061,43.165092,20.481941,7.8998394,23.279692,0.8390476,21.306581,-4.3575487,13.940752,-1.1118845,10.714141,-1.1207738,3.909437,-6.873067,7.9566813,-9.2422905,6.872548,-5.3512664,3.6981137
?,449.12512,82.21467,37.077877,6.0307217,4.625716,26.592775,-0.44735005,22.82918,-4.4524684,11.174315,-1.9803776,14.41294,0.5358394,3.8804095,-10.202242,3.8471136,-13.861789,4.6175003,-6.3746843,3.8738337
?,426.9683,77.05758,45.43862,18.759201,6.0772357,22.543894,0.15099931,20.04517,-6.3725443,14.55029,-1.2210767,8.229874,-3.5562704,5.7223625,-5.9446282,5.9305186,-9.816835,5.770205,-8.214695,2.2184784
?,427.77167,75.12634,40.31667,14.462864,5.944274,22.759146,-0.22147493,19.689768,-6.3623605,14.107138,-0.71649975,9.058138,-2.0840096,4.795218,-6.242763,7.547695,-9.216036,7.1928844,-7.7953653,0.74245554
?,418.44104,70.75291,40.5992,16.184961,2.4381964,19.923887,-0.34625873,18.778234,-7.03224,12.7256975,-2.551178,6.556278,-4.115689,1.4776378,-8.755602,5.8851104,-11.199201,2.5358686,-8.229084,4.7230496
?,397.16345,70.654594,41.21158,17.50399,3.7001014,18.528326,0.039165974,18.735266,-4.585772,13.498913,-2.6671014,5.3216977,-5.0629954,1.8249086,-6.579726,6.452875,-7.4423175,6.0833964,-8.048565,1.5857813
?,433.54712,75.93748,45.25484,18.95513,11.359123,21.119081,-0.64376915,20.85802,-5.514648,11.77088,-0.11081362,9.101667,2.7414277,8.565904,-2.3809855,9.116772,-5.1126494,6.9314218,-8.007474,5.2256274
?,437.2278,68.87415,47.676407,19.85029,6.85147,19.343473,2.683796,18.9927,-7.636839,15.633428,5.5563436,8.856717,-0.4944543,6.709948,-0.74162406,7.851816,-4.2071357,7.392137,-5.2364736,4.8460884
?,444.30582,68.26034,45.14311,19.47457,9.282865,16.505589,-0.3685004,18.373592,-4.600547,16.168314,3.4055564,7.5760355,0.48461342,3.063756,-2.985787,7.44243,-3.51879,6.0446153,-6.1232367,1.9716169
?,427.03815,66.58712,46.760506,20.788559,8.484225,18.228664,2.1858113,20.41935,-1.7573845,15.572264,-0.5562501,3.2479525,-2.4621806,0.04189968,-3.4668841,8.215086,-3.2309093,6.925292,-2.9122987,4.1272483
?,428.32196,73.962,41.942745,16.342588,12.818888,20.483295,4.3620367,17.46919,-5.5572906,10.3325205,2.1237621,6.33966,1.3746942,2.2054696,-4.439246,3.0193672,-7.4498854,6.248904,-3.7921603,1.6471146
?,437.18713,71.92734,46.29866,12.141933,10.472007,23.767689,-0.213277,17.381039,-2.5403607,12.9904785,-1.6199005,2.3378422,-1.2250808,4.775806,-4.3664904,2.9644113,-5.5206127,6.0824785,-6.776802,1.1447701
?,448.9025,70.037796,34.347565,9.483889,7.5860415,18.37459,0.5170173,21.593954,-1.9923586,14.50539,-1.0227368,2.126186,-1.2630409,5.592697,-1.8243828,6.7243834,-6.255828,2.0089593,-6.583732,3.5714903
?,540.8657,107.747795,7.81218,-3.7829497,10.293582,13.043441,-1.3243592,22.201643,-5.805311,14.883362,3.6793997,3.652434,-0.40103686,5.6345477,-3.8341954,5.315457,-6.254842,7.1365213,-3.1911304,2.204849
?,432.59235,67.40001,44.802048,13.805598,8.728002,24.065165,1.6818984,20.692623,-5.426655,15.035681,1.6398888,3.4865072,-2.543153,1.9807174,-4.2017384,8.468407,-3.9894707,4.001744,-6.5419354,2.6817477
?,442.67065,79.30887,36.447163,8.908061,10.245999,21.068434,-1.0121695,21.724207,-5.6300178,9.428042,-1.5630741,4.506915,-1.8733639,6.0262566,1.2528049,9.521478,-8.82793,3.4126387,-3.5048354,6.8107743
?,461.42465,68.20992,28.315416,13.204788,9.029132,19.070642,1.4423633,17.19936,-6.7232857,15.687592,-1.3703047,0.48244914,-3.5349197,3.7046397,-3.8647678,6.8310585,-4.9712505,6.383816,-5.4621015,3.6963556
?,441.3841,66.27843,41.500393,21.640974,11.665638,18.726742,0.19948304,22.935719,-3.3016045,16.235868,5.4529333,7.2133822,-0.9454744,5.7775736,-2.0914555,7.396599,-4.872713,5.908685,-7.292318,1.1605357
?,451.02576,74.67733,42.655365,17.715261,11.821214,19.217426,2.2498486,16.373209,-8.617689,14.349265,6.19343,6.890712,1.2421627,4.2261434,-3.1210432,6.880626,-4.9081545,9.7868,-1.1926391,2.891562
?,427.7577,77.015434,52.48721,14.650189,5.1819735,20.115528,-1.4235886,17.875547,-5.25904,11.110331,-2.1672442,5.358455,-0.6676474,3.724601,-6.541083,1.6555464,-6.922641,7.2421603,-3.2504637,3.9166522
?,415.08447,72.052986,50.51932,17.529238,6.707841,20.496828,0.67648077,19.444395,-1.0892534,16.1994,3.5886333,7.874566,-2.7443306,1.9859219,-2.9949517,6.458276,-5.63028,6.9867,-4.888135,2.6650534
?,424.3937,73.96189,51.177525,21.648418,12.480516,22.102587,3.5991292,22.513004,0.28458425,18.562103,3.9233587,6.049053,0.29746315,5.9296374,-4.3025026,5.7563834,-3.3569837,7.4320016,-5.80923,2.6357536
?,427.75717,73.598946,51.262688,22.994276,7.7661376,15.499672,-2.828273,20.202406,-4.344269,17.88997,4.801806,5.675608,-3.0926213,4.9141846,-1.5805733,6.7771826,-3.3469348,7.2640467,-8.636168,0.5899021
?,421.37595,74.844925,53.41276,19.786892,8.97185,21.238518,-2.6548917,18.31924,-2.0704718,13.967584,-1.7650374,0.6553057,-5.262582,2.162373,-2.0881853,9.271279,-2.076948,8.450113,-3.9292195,3.3748653
?,419.25146,70.39434,48.90158,17.795242,8.033234,19.925537,1.3848022,22.174456,-4.324149,12.353989,1.0620987,5.04038,-3.4039724,2.6696362,-2.8223987,6.4843364,-4.4900475,6.68056,-6.0286417,0.36785537
?,418.19968,71.009224,46.229427,18.798815,7.6237245,20.654758,2.9223537,21.506433,-3.3691301,14.6507845,2.2186408,6.872277,-1.9674797,3.379364,-2.9797792,4.842357,-6.5363827,6.6773033,-4.043018,2.4687788
?,420.16635,70.7855,53.395317,19.423788,7.8683767,20.45373,-1.5437449,19.063732,-3.2425945,14.794571,1.4660046,5.947628,-5.3524017,1.4949961,-4.7381263,4.9014797,-6.2551517,6.9659557,-5.0306168,3.660781
?,427.0479,78.6315,47.50424,13.893885,6.7737303,21.287704,0.52213705,20.63173,-4.570452,12.315315,2.9295754,8.462851,-3.2235975,2.0917637,-3.2139962,8.107464,-2.4835854,6.9582634,-6.3516016,0.17182124
?,425.67438,77.06043,50.837757,16.213287,8.332395,22.717344,-1.3545666,18.729443,-2.9349632,12.776996,1.3927552,8.202371,0.10426552,2.8885527,-5.200114,4.83471,-5.655806,4.4051423,-6.0139213,3.008897
?,422.2799,73.24367,53.827587,16.737347,6.0469913,19.705538,-1.2606857,18.26601,-3.3757384,15.40725,2.0485299,8.428575,1.6683984,1.5266466,-5.2629786,5.9587307,-3.4322865,7.2454405,-4.574322,1.5412966
?,415.65955,70.213806,45.96016,13.472693,3.2650561,19.960484,-0.7820119,18.14542,-4.8947244,13.587678,0.2602651,4.835653,-3.3569834,2.1432219,-5.833944,6.667737,-4.017276,7.5734015,-4.29433,2.0690014
?,413.73355,71.264824,53.9425,20.568157,6.413391,19.595024,-1.7816747,20.15313,-1.0361344,17.6945,0.25983593,6.579751,-2.5659356,2.0705361,-4.716526,7.132945,-3.5522153,7.1006165,-6.680703,2.2425919
