label,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128,feature129,feature130
a,-515.2411,-491.94162,-554.6072,-624.44104,-641.2948,-643.56934,-641.79486,-639.7212,-638.53156,-657.91174,130.10886,136.16116,125.52559,87.69924,76.90547,79.151024,80.75729,80.828476,79.64189,77.663635,31.161491,34.74097,42.48503,40.38755,37.63601,38.06054,37.97498,34.926373,29.780764,32.303993,13.946981,20.593777,23.927067,19.000393,13.696102,13.391847,14.250666,17.772669,17.537846,17.296501,4.3007503,7.659501,11.583387,14.162484,11.458588,12.189913,14.443852,16.261992,18.730156,18.339172,-19.154533,-9.889015,6.982336,15.901064,10.577213,11.303516,12.065688,10.040508,10.458838,15.75574,1.8181038,3.4597254,7.6202335,17.42266,10.226133,12.95908,11.262346,4.9851465,3.5197926,4.4522543,-5.1402516,-1.3210008,9.603083,15.846129,8.324077,11.227081,9.347529,6.202253,3.4557528,-1.1729324,20.005484,17.604029,8.713831,8.9698715,3.9241571,2.8394039,3.2642941,2.3471751,-1.6618601,-2.8737867,-2.9901042,-2.1567147,0.107578576,3.7346847,1.0465384,-1.7515969,-6.200632,-3.5174022,-3.2726345,-5.7179823,-3.0715642,-1.6259017,1.4398786,7.678886,3.5271125,1.1389085,-4.380325,-1.8941283,-1.1224661,5.7940826,-5.6433916,-3.2125745,-1.7152851,-3.5835543,-2.7533643,1.3545278,-3.5694249,-2.9981112,2.1693304,9.675515,-0.31430304,1.6674135,-0.942778,-0.9117783,1.1842059,-1.4527334,-4.1641827,0.09062582,5.9206,6.6595964
a,-428.7715,-356.40793,-405.66513,-541.3394,-597.1162,-619.7248,-557.47723,-449.40097,-446.3534,-528.5571,82.14128,92.4757,101.03049,96.61186,89.92113,77.49936,94.95981,113.916534,123.59035,117.343544,-7.7094803,0.6561301,9.987025,37.53061,49.55027,40.434296,31.481632,30.762903,34.01558,39.92584,-23.644577,-13.257227,-1.8968661,7.942489,8.386629,5.8191934,9.725559,15.023216,20.108597,16.146576,-1.7456787,4.5874796,9.964302,15.498785,10.292995,9.7377615,7.0818253,2.5395615,1.2807682,6.059939,11.875343,18.711344,24.96922,31.731127,22.142693,10.718866,-14.84235,-19.863834,-12.557296,1.7873714,2.3305166,8.868982,13.953852,19.8644,22.122763,12.902927,-1.1818947,3.567345,8.852957,16.210337,-0.65580523,5.644628,9.503134,6.6844854,8.630005,8.178545,-11.450554,-11.970905,-5.4793444,2.8755841,11.855446,15.291421,13.761639,9.552412,12.926256,9.274661,-0.2734146,-0.43071166,1.8697568,0.50141007,-3.7214708,0.046620727,1.2222016,0.5117851,8.642172,1.4896612,0.7798218,0.15039563,0.86305356,2.149809,-3.0692003,0.87905604,2.539269,7.4756155,9.796615,0.49735647,3.2021537,3.1200063,3.0242414,4.387548,0.01261951,5.894353,8.434396,5.511331,0.7135898,-7.2365856,-4.2774,-6.2844534,-8.60041,-6.6219854,-0.17058375,5.5682607,9.394745,11.968681,-5.4900155,-6.902157,5.0459204,4.153097,4.585646,3.3060024
a,-435.22043,-363.09198,-408.69806,-532.6318,-587.38934,-610.289,-627.0095,-603.25385,-462.95615,-424.2948,97.92517,104.54987,110.82631,97.21442,85.120865,77.722435,68.03318,84.84491,123.36998,127.65195,-8.09121,-4.3670177,4.058547,24.007929,38.900867,39.450207,33.488503,34.88465,33.50206,32.705376,-19.335518,-9.71035,5.0087566,24.25301,20.49059,6.3565392,1.205319,2.178511,7.7927504,13.382841,3.2272928,7.416706,13.456505,28.592468,17.97932,8.145535,6.794587,3.9160132,-5.118416,-3.809173,11.820151,14.888658,21.013277,30.433853,18.246983,12.913479,7.782754,2.349939,-11.725074,-11.13245,-3.5091,2.896429,8.701511,21.773853,21.762985,15.252726,4.8882613,1.168928,-8.688269,-7.0850487,-6.0667205,-2.7137566,2.5620875,15.172354,19.600365,12.31955,4.527522,3.057658,-12.4938545,-9.4775915,22.493443,22.26976,17.248386,12.9440365,23.434132,19.94469,9.98732,9.134281,0.3706349,2.352805,-7.7086983,-3.8813043,-1.5817143,1.3401849,8.107976,2.6930466,-1.5407401,6.3935328,9.7265,6.579421,-2.693421,-0.61404413,0.9016386,-0.6854664,-1.4860327,0.52914375,-2.3144858,-2.4524817,0.14738816,-1.7505836,2.3860428,5.4649777,4.6948366,-0.9310013,-0.9332802,2.0655277,3.6698377,-2.480486,-9.483332,-9.553609,-6.405083,-2.2606738,1.4226742,9.8003025,8.1159935,5.406253,10.0439625,3.2588148,0.47805536,1.54464
a,-422.483,-447.20862,-535.125,-585.32465,-612.9124,-625.28973,-623.0707,-603.63007,-577.28766,-582.04865,127.20173,129.68532,114.327896,93.294136,75.72401,75.80684,83.7001,88.34209,87.63379,83.45605,27.270844,30.913174,35.581055,31.254345,28.930061,35.90204,41.616966,36.797035,11.960139,-2.8887978,18.372643,18.597921,16.840927,10.800154,2.1254754,3.6008437,16.641506,20.158743,13.581434,3.2061732,-10.246658,0.83508414,18.468472,15.801733,14.066775,14.804682,24.008968,31.731552,32.188404,25.112627,-7.068364,-2.7267542,2.5517664,9.48229,18.019325,14.056904,17.408028,23.950005,29.968163,28.33188,-5.6354485,-3.8638537,2.713411,18.908081,17.781324,13.333118,12.00456,11.967722,15.731035,14.91001,-0.46587485,0.93433464,8.768812,14.156781,8.190903,7.479742,13.239005,5.3499565,-8.935352,-11.472747,-3.1192067,4.849469,14.835346,14.081577,5.4386015,2.1986947,14.287514,10.789043,1.1384354,-2.486212,1.7752235,4.178068,1.698915,-0.0707028,-4.119011,1.8172044,9.084767,6.2593575,5.696269,4.3552303,2.916535,-0.07573193,-5.3919525,-7.1503973,-3.9653583,1.5755213,7.235631,6.592102,10.999819,13.520582,-4.8654804,-7.121597,-8.230352,-7.1329427,-5.9119897,-4.753274,3.1499314,-3.0505114,-8.251366,-14.882935,-6.4327435,-4.754446,-2.9783263,-4.613474,-4.5515437,-4.1992884,-1.3420508,-2.1373224,0.92979074,-4.675885
a,-461.05734,-386.16376,-424.82452,-533.4263,-588.3882,-609.28094,-588.3333,-451.90515,-423.81168,-490.64984,91.73332,99.25807,106.76479,103.74298,88.64685,83.3865,86.30814,115.7314,124.488396,127.44879,-1.4790841,4.153698,10.433762,25.903976,35.634033,47.38109,43.952843,32.808083,33.306267,38.311928,-4.833619,0.6901592,6.7559423,12.600803,11.888491,16.680212,21.017963,21.065708,23.279724,27.108654,7.0692205,9.442776,11.091192,16.807308,24.932663,19.093805,14.457031,10.126558,10.557116,13.687996,11.347782,17.002129,21.50627,24.449413,19.428432,16.40158,3.394004,-15.541303,-12.050804,-1.6287996,4.6939864,11.417866,16.088917,19.682518,10.362975,7.959923,3.4196253,-0.8257896,1.5278133,6.2175837,9.403803,14.248407,16.358822,10.168034,-1.7367345,-2.81058,-1.0579565,-5.398634,-4.007053,1.2248285,12.943647,15.713453,14.908783,10.581764,5.796174,1.1349818,-0.30186456,-8.5071125,-6.0663986,-2.7272954,-9.982357,-8.1261215,-7.6478767,-5.941227,-1.5999259,-6.391242,-5.838286,-4.6446934,-2.2758522,-1.3514254,1.0626825,3.6853778,5.0514784,5.4356194,7.825657,7.782983,5.473131,2.7369416,1.0086267,1.8508922,-3.5301306,0.44436884,4.975438,11.429491,8.143805,-3.4110956,-0.19342756,5.395207,3.3032246,0.46089464,-8.249118,-2.8393986,2.3585489,8.425474,2.762093,3.0309148,2.1182618,6.929623,5.6878395,0.5870397
a,-482.11993,-409.98193,-448.08078,-545.38184,-590.83,-604.1672,-604.9867,-519.6748,-422.74512,-434.25043,88.98972,98.56279,107.7137,98.881195,84.502266,80.22954,82.219864,101.410385,112.35661,117.58394,8.491739,12.8577385,20.66855,43.010258,43.036728,38.965103,36.866158,28.998755,30.32079,34.793053,-2.2711039,6.531905,17.786795,25.535097,19.834045,18.089058,11.794516,8.750156,13.287233,20.010971,2.9802036,8.906286,13.597013,17.592693,14.627381,9.94611,15.181655,1.0325476,0.8941891,4.4878983,0.6797712,6.258526,11.321773,15.472282,11.504446,0.40824658,4.9781575,-11.986396,-16.162628,-10.43215,9.22993,12.042822,12.525194,13.685104,13.422795,-0.018926166,-1.6532106,5.697673,6.5935507,4.9061403,6.7498736,8.996397,10.995927,16.87448,13.8772545,2.089391,2.8780148,-13.127712,-13.312307,-5.649111,13.293281,15.551838,16.570469,24.100126,22.716816,14.801369,13.3966255,-11.310936,-11.166621,-3.1827705,-13.782077,-11.482607,-7.1759763,4.357685,6.294977,5.089142,2.3790216,0.12814152,5.5931015,9.413044,7.0200133,9.126515,9.796194,7.6656365,5.5697103,4.3848357,3.7658978,5.853503,7.4834805,8.09078,3.7152596,6.8160734,9.873719,2.275773,1.9242636,2.0233107,5.82071,-7.2958145,-5.5605536,-2.9029832,4.2661834,9.747377,15.188388,14.8512745,11.429774,6.0241394,12.532797,8.917311,4.995071,3.8919783
a,-450.73453,-374.46725,-417.01025,-539.76215,-594.7471,-610.6508,-615.4615,-531.18665,-446.26233,-462.04144,84.35887,94.4868,106.08107,97.86726,82.101364,78.4923,79.55873,96.770386,107.862,116.182816,9.795167,14.396744,21.611671,40.719696,42.91413,42.156624,42.86358,37.425407,38.99386,41.751633,-2.3202534,4.307335,13.279716,24.472733,20.818304,12.559589,8.231434,13.623365,18.39789,21.521126,-3.961739,0.42698187,7.787092,20.581608,21.647934,22.866367,17.623169,13.500345,16.734762,16.800133,-2.4276257,2.9901652,13.169153,25.866222,22.027498,22.407902,23.477564,-2.6401699,-5.1285567,-1.4986901,10.490835,13.302326,15.7623825,18.563694,21.485113,19.791655,22.914114,10.3792305,9.850918,7.5441294,7.042503,7.708784,9.805292,5.1809,3.1130493,2.4300709,8.44043,-8.090983,-6.384884,-3.5565097,20.330725,18.283123,15.603245,11.354065,5.765015,-2.9694238,2.8460793,-6.0900435,-6.6100264,-2.6023383,-11.486027,-12.6870575,-11.696457,-6.984402,-0.44408548,0.8657543,-1.0243652,-0.15734182,4.191143,9.981972,0.85188794,0.10726336,-0.7023258,4.1773834,5.7579775,3.155627,-2.776434,-0.26714218,1.2014791,2.6620488,-1.0401998,0.8074524,2.1907806,8.776151,8.280113,3.5536098,2.9095395,7.6586294,7.079263,5.3077874,6.371326,9.402039,11.816787,7.1471534,-4.487005,-6.3965254,-4.7533145,15.271568,17.07404,11.762753
a,-446.98203,-375.1725,-418.98785,-533.3988,-594.7427,-610.8106,-612.9356,-556.53143,-445.3088,-425.46457,80.43015,90.03505,102.168655,102.213684,84.38979,74.840164,72.18251,79.42767,95.564896,106.23192,5.801029,10.489784,18.648327,41.839497,45.04232,36.367752,25.926434,10.551779,20.9515,24.240376,-5.9783287,1.6589341,11.689966,25.249233,27.896206,21.703976,7.174745,2.6736755,14.137999,21.862946,6.1898556,9.988462,12.974041,20.861822,21.820866,16.549889,9.985695,8.460674,14.53812,17.087837,9.95591,16.004154,20.707596,24.388868,16.637411,10.872713,11.203579,-4.4496174,-12.844726,-6.623884,11.241972,16.722692,19.67731,22.118818,16.857471,10.676857,17.016804,0.16094017,-4.0914516,1.8598334,9.015688,10.475849,10.847515,11.841334,10.845375,8.0315275,12.721189,-1.2585719,-16.261002,-10.226112,10.955629,12.589464,11.6471,9.837151,17.887245,14.934082,10.991123,0.83873034,-11.596244,-4.554925,-3.2672067,-0.41455817,1.4385177,4.6831064,2.1304376,-2.0841587,-9.312696,-15.101233,-3.360865,3.458558,0.21186832,2.8477025,4.1117253,6.6883774,0.7463914,-3.4291022,-4.417767,5.801591,8.553431,10.213663,1.3361201,3.2838488,3.0750341,0.220833,-3.362571,-4.6046457,-1.3776014,19.859207,22.562218,17.94905,0.31852877,5.362854,9.4757395,6.8936367,-5.928972,-8.4465275,-3.9956038,2.5923748,9.34902,10.150979
a,-435.98932,-364.10663,-408.41196,-526.39386,-578.01917,-610.4007,-620.0355,-599.0309,-488.16068,-461.8941,68.20845,78.72679,97.118805,107.784805,92.817726,76.00853,79.46311,94.17287,115.23912,120.13734,-0.3243733,4.4998717,13.973705,36.616917,43.391846,39.30291,40.373314,36.30388,40.421173,42.927124,-14.990057,-5.7795534,7.387725,20.526035,16.631409,13.964563,12.907263,10.730543,15.582516,20.0532,5.8451843,10.583825,14.651852,19.929482,18.315886,18.984129,18.174519,13.192894,14.656046,13.155963,8.386895,14.522488,20.94117,21.464745,13.049121,7.6682825,14.989097,12.745155,3.699573,7.2159524,-3.9984374,1.7334559,9.883334,19.427837,12.10552,4.968623,10.15462,7.748049,-3.4828877,-1.7021401,-1.0671296,2.581757,5.72039,1.8948183,1.1866904,2.2387173,-0.99519116,-10.097963,-25.235668,-21.5037,11.260597,12.903532,10.927494,7.3524866,10.670243,10.624359,5.8510523,5.4231715,-7.1802435,-7.491575,-20.61398,-15.196919,-11.401762,0.27226266,5.3197994,6.85821,2.1806202,3.46461,10.016787,7.667175,4.1150365,10.797017,11.242408,11.079875,10.28454,8.641577,-0.015895247,-2.169305,4.554663,7.231696,16.58359,20.866825,17.760109,7.6298227,9.971935,-0.5511885,-5.4324207,-1.3382604,8.513047,10.583305,-1.3106,3.6279545,6.114232,3.5192692,3.4837341,-1.2973511,-8.0939045,-5.504567,-1.6670191,-2.200902
a,-484.13257,-497.0269,-568.9007,-610.7854,-623.0474,-628.34503,-626.4241,-625.99554,-628.48566,-643.14966,131.78749,123.76087,99.458725,80.580154,73.47393,70.69321,72.89618,79.848526,82.62552,78.64432,49.191715,54.735252,57.604187,53.201263,44.618935,38.50173,34.64248,36.85832,35.434986,30.595177,25.546587,27.817741,25.29042,27.296846,22.889206,19.99474,14.016214,11.699673,9.3585415,5.7026224,11.651887,11.829689,11.614508,21.220558,22.301748,18.73257,21.349865,16.93677,9.296793,8.034689,5.676732,12.983849,14.424352,15.595392,18.124327,17.747019,21.838518,14.819508,12.093774,16.15598,-7.458085,-0.51754034,7.4805517,9.171633,8.017093,3.478019,6.1907234,6.84873,10.744684,15.708622,-13.141094,-11.157568,0.08928442,9.051737,6.1642103,-1.3761618,-2.1284227,6.8266206,8.458736,5.202753,3.5772614,3.5305042,13.452641,13.85269,13.145154,6.659199,-2.098647,2.2547548,7.283658,6.9318504,7.3306847,9.5511,14.172121,7.8171763,4.8929267,1.5788982,-6.8578463,-4.098771,-0.63506454,2.5673366,0.666639,6.019953,6.8113394,5.590205,7.044343,4.1950226,-4.769929,-3.2266521,5.690278,8.295405,6.5713787,9.446193,5.9037533,6.2327437,1.7250959,1.6548799,-3.1246386,-1.5319666,4.5707226,1.3655264,-0.74585694,1.6076292,4.6499414,-1.9100296,-2.795305,4.342119,5.9324913,4.544133,3.6651945,0.91720766
